,theta0,theta1,j
0,120676.09684235339,149129.46012256632,2065469804.4919205
1,120665.96954435382,149146.49847511816,2065422870.2908854
2,120655.87180002924,149163.4827428881,2065376224.5716407
3,120645.80356029261,149180.41313642246,2065329865.5583308
4,120635.76477508985,149197.28986444155,2065283791.4861739
5,120625.75539343269,149214.11313387676,2065238000.6013877
6,120615.77536343058,149230.88314990664,2065192491.1611094
7,120605.82463232183,149247.6001159922,2065147261.4333243
8,120595.90314650374,149264.26423391106,2065102309.6967916
9,120586.01085156204,149280.875703791,2065057634.240968
10,120576.14769229943,149297.4347241425,2065013233.3659434
11,120566.31361276344,149313.94149189044,2064969105.3823593
12,120556.50855627337,149330.39620240493,2064925248.6113434
13,120546.7324654467,149346.79904953158,2064881661.3844435
14,120536.98528222452,149363.1502256208,2064838342.0435495
15,120527.2669478965,149379.44992155637,2064795288.9408326
16,120517.57740312503,149395.69832678337,2064752500.4386714
17,120507.91658796874,149411.89562933528,2064709974.9095912
18,120498.28444190531,149428.0420158605,2064667710.736192
19,120488.68090385379,149444.13767164815,2064625706.3110836
20,120479.10591219613,149460.18278065324,2064583960.0368226
21,120469.55940479824,149476.17752552108,2064542470.3258471
22,120460.04131903047,149492.12208761132,2064501235.600412
23,120450.55159178737,149508.01664702114,2064460254.292521
24,120441.0901595071,149523.86138260792,2064419524.8438756
25,120431.6569581902,149539.65647201144,2064379045.7057989
26,120422.2519234178,149555.4020916754,2064338815.3391817
27,120412.87499036944,149571.09841686854,2064298832.2144196
28,120403.52609384026,149586.74562170493,2064259094.8113532
29,120394.20516825786,149602.34387916423,2064219601.6192052
30,120384.91214769852,149617.8933611109,2064180351.1365213
31,120375.64696590311,149633.39423831346,2064141341.8711112
32,120366.40955629249,149648.84668046277,2064102572.3399918
33,120357.19985198248,149664.25085619025,2064064041.0693245
34,120348.01778579842,149679.60693308542,2064025746.5943613
35,120338.86329028932,149694.9150777131,2063987687.4593842
36,120329.7362977416,149710.1754556302,2063949862.2176516
37,120320.63674019252,149725.38823140194,2063912269.4313354
38,120311.5645494431,149740.55356861788,2063874907.6714742
